Route ID,mae,driver,origin
13242,33.4282596574455,302,19
13244,32.505636054816584,42,19
13246,63.45541919859627,46,19
13248,43.12542730305273,28,19
13249,29.908904044083773,282,19
13254,24.28153311436871,43,19
13255,52.69883450914291,31,19
13257,41.652969660913776,127,19
13258,73.63171555554666,288,19
13259,48.81237300258621,301,19
13260,58.933699533097446,268,19
13269,114.98019713961226,60,19
13272,21.291001371738638,278,19
13273,123.32346042641154,234,19
13274,46.806616156613956,275,19
13275,44.60520337576072,354,19
13276,56.12050524875016,325,19
13280,170.58545417479763,88,19
13281,25.53542294586095,223,19
13283,49.703606430043216,265,19
13286,120.17245643494937,197,19
13291,22.06292829343214,165,19
13292,51.80066223203797,54,19
13293,15.87676661384999,283,19
13294,38.43738622524626,79,19
13295,41.53448604198074,293,19
13297,69.11164658659689,80,19
13299,55.7158772294163,343,19
13300,102.35316542754663,105,19
13308,26.718574000358622,284,19
13309,61.76874667543423,113,19
13312,90.72198820945476,45,19
13316,133.78243219538103,174,19
13318,144.60178397430914,150,19
13325,36.16046891397463,169,19
13329,51.86021064387436,75,19
13333,42.221225832658355,167,19
13337,46.397081555504926,366,19
13361,23.000375836613326,8,19
13365,44.35570819108105,95,19
13380,61.679676086237514,19,19
13381,28.260779756032907,96,19
13384,41.342036961322044,198,19
13386,60.54399363812501,25,19
13389,51.72896374996027,286,19
13390,99.6585186233211,67,19
13391,34.0664009141664,266,19
13397,25.071845390016165,162,19
13398,34.565769092994366,274,19
13399,55.29633593873699,202,19
13402,39.35073622559344,42,19
13404,35.26585120528015,31,19
13405,39.396534621499676,128,19
13412,45.384835393909505,296,19
13414,118.67556520482658,26,19
13415,36.64438824245547,23,19
13418,29.612141981640313,268,19
13424,133.26422548405884,197,19
13427,93.57116110911626,288,19
13430,68.60508234476022,273,19
13431,63.65833737271085,294,19
13435,121.01238025979433,341,19
13437,25.356945978495396,278,19
13438,145.38033351224402,60,19
13439,69.70234520587098,57,19
13444,64.12061420849265,292,19
13452,143.51032575677408,54,19
13454,39.6281466715098,185,19
13455,81.30796443066757,354,19
13456,26.44587667051469,165,19
13458,79.24981277357168,174,19
13460,28.797721122322464,300,19
13463,38.3728777981399,371,19
13466,114.92355514974014,80,19
13476,37.13276739158298,169,19
13483,79.19539526972088,138,19
13489,33.07054478861368,75,19
13490,45.02630380153254,113,19
13511,89.87978091379851,88,19
13536,36.88579546047516,143,19
13538,118.49843697035945,16,19
13545,105.41506655604748,305,19
13547,87.61623619522092,25,19
13552,32.025177205206845,257,19
13555,104.29701865709795,26,19
13564,67.38305104306279,128,19
13566,58.140205758031804,266,19
13577,28.099958197045805,36,19
13578,74.68832804350703,264,19
13579,72.75249016987905,269,19
13580,60.72102452917138,197,19
13581,42.564153220771594,268,19
13586,61.446053106321614,146,19
13589,141.4052894921177,180,19
13590,55.887093039316305,285,19
13592,52.72651320311938,265,19
13596,122.5504099456944,65,19
13597,66.6342771605119,281,19
13598,43.69966961350747,278,19
13603,24.251586691015568,300,19
13608,27.275654242074427,293,19
13610,69.38187573878653,277,19
13611,55.751472042820495,284,19
13612,100.04666689998815,32,19
13614,94.40525552385932,108,19
13616,32.89497640872496,360,19
13618,25.45255366343869,80,19
13621,38.84194093142351,59,19
13626,48.82365308781636,50,19
13627,67.52095435764629,44,19
13628,40.99893816524154,79,19
13631,102.48363834354254,150,19
13634,99.43951301765529,70,19
13647,67.11710372019418,82,19
13649,78.9239518062136,118,19
13651,110.55093168455303,87,19
13652,96.85124836273557,88,19
13675,33.63201303830881,160,19
13682,47.49832887538011,16,19
13683,77.6561250780026,19,19
13689,36.17002630729514,96,19
13690,25.724595133232572,305,19
13692,87.09610315647915,194,19
13694,65.42209152547025,67,19
13696,51.76280569962814,286,19
13697,50.51509038129741,258,19
13698,111.86856413555341,26,19
13699,32.79759759594508,41,19
13700,20.72541231581418,266,19
13704,65.5868466870286,273,19
13708,16.654034704668252,36,19
13710,29.057960287793435,31,19
13714,25.48409509039853,39,19
13715,54.0613700809066,128,19
13720,42.672146559064494,246,19
13723,116.07820609169049,197,19
13727,29.35844153279436,223,19
13734,33.524523385178306,268,19
13738,59.47379526366248,325,19
13739,114.95792381556194,341,19
13740,109.99068985476904,343,19
13741,25.452577089978565,265,19
13743,59.33120085216548,134,19
13746,79.7324502611154,50,19
13747,79.44270087718749,360,19
13748,41.37220072085802,165,19
